Timestamp,Workflow ID,Company,Role,Platform,Location,ATS Score,Skill Match,Missing Skills,Recommendations,Status,Apply Link
2026-05-22T18:40:42.570401+00:00,181efc1a-1563-48bd-a709-f557c6a2b415,Bhanzu,SDE 1 - Backend,Indeed,"HSR Layout, Bengaluru, Karnataka",68,77,"AWS, Microservices, Git","Learn AWS basics and add it naturally to a backend project. | Build a small SDE 1 - Backend project that demonstrates Microservices. | Add measurable impact bullets for APIs, reliability, and deployments.",waiting_for_human_review,https://in.indeed.com/rc/clk?jk=c1ee10cd004fa915&bb=3OazMhx3-LkM4Jh_5N7xus0Qbvm6MA9MkqtaCHplKc9_Ovgg8flqM4DAiiUTmc5uv6kQchKAuW7iEPITGg8Nt946xsqB5MOvSoSK6-uiSGIBbKXkSrcPQWiNIMfy1Mp7X3w3zjfE_oo4QB8QTq0W0mPulr-Y7kLk&xkcb=SoD767M3joXRZDTC0B0LbzkdCdPP&fccid=000d89e3bdeff371&cmp=Bhanzu&ti=Software+Engineer&vjs=3
2026-05-22T18:40:42.571753+00:00,181efc1a-1563-48bd-a709-f557c6a2b415,Tattva Techworkz Pvt Ltd,Backend Developer,Indeed,"Bengaluru, Karnataka",68,68,"Redis, Microservices, CI/CD, Git, Authentication","Learn Redis basics and add it naturally to a backend project. | Build a small Backend Developer project that demonstrates Microservices. | Add measurable impact bullets for APIs, reliability, and deployments.",waiting_for_human_review,https://in.indeed.com/rc/clk?jk=8a6fa3929ff6e21f&bb=3OazMhx3-LkM4Jh_5N7xugv78f9og6YS10ZR29DicLuhzegYJsPO_c4P8ribjQNMx8B56Un4CA2o7wsKbHkQEZUixivp-haeHN0tv2r92beY6UBH8U9Zp-m8qf8BPTPpk_iANSh1Bekvb1gmPpr4Wk9mtM6nXt47&xkcb=SoDS67M3joXRZDTC0B0JbzkdCdPP&fccid=3cb3bf23308671f5&cmp=Tattva-Techworkz-Pvt-Ltd&ti=Back+End+Developer&vjs=3
2026-05-22T18:40:42.572490+00:00,181efc1a-1563-48bd-a709-f557c6a2b415,Deloitte,Nodejs Developer,LinkedIn,Greater Bengaluru Area,68,100,"Docker, Kubernetes","Learn Docker basics and add it naturally to a backend project. | Build a small Nodejs Developer project that demonstrates Kubernetes. | Add measurable impact bullets for APIs, reliability, and deployments.",waiting_for_human_review,https://in.linkedin.com/jobs/view/nodejs-developer-at-deloitte-4406444803?position=2&pageNum=0&refId=5E2F4yEuk9fAeUmLKNiGzA%3D%3D&trackingId=%2BufSk6zhDRLGRNxd%2BAznrQ%3D%3D
2026-05-22T18:40:42.573198+00:00,181efc1a-1563-48bd-a709-f557c6a2b415,Deloitte,Full Stack Developer,LinkedIn,"Bengaluru, Karnataka, India",68,100,"Docker, Kubernetes","Learn Docker basics and add it naturally to a backend project. | Build a small Full Stack Developer project that demonstrates Kubernetes. | Add measurable impact bullets for APIs, reliability, and deployments.",waiting_for_human_review,https://in.linkedin.com/jobs/view/full-stack-developer-at-deloitte-4349600916?position=1&pageNum=0&refId=5E2F4yEuk9fAeUmLKNiGzA%3D%3D&trackingId=p1hfig65IZZKzjoMFTIG6g%3D%3D
2026-05-22T18:40:42.573815+00:00,181efc1a-1563-48bd-a709-f557c6a2b415,Deloitte,Full Stack Python Developer,LinkedIn,"Bengaluru, Karnataka, India",68,100,"Docker, Kubernetes","Learn Docker basics and add it naturally to a backend project. | Build a small Full Stack Python Developer project that demonstrates Kubernetes. | Add measurable impact bullets for APIs, reliability, and deployments.",waiting_for_human_review,https://in.linkedin.com/jobs/view/full-stack-python-developer-at-deloitte-4407749111?position=3&pageNum=0&refId=5E2F4yEuk9fAeUmLKNiGzA%3D%3D&trackingId=M17nEL71aMoDfP%2F3CGS4lA%3D%3D
2026-05-22T18:40:42.574309+00:00,181efc1a-1563-48bd-a709-f557c6a2b415,FPLE Technology Pvt Ltd,Junior Backend PHP Developer,Indeed,"Bengaluru, Karnataka",68,100,"Docker, Kubernetes","Learn Docker basics and add it naturally to a backend project. | Build a small Junior Backend PHP Developer project that demonstrates Kubernetes. | Add measurable impact bullets for APIs, reliability, and deployments.",waiting_for_human_review,https://in.indeed.com/rc/clk?jk=d7bbdf93ff3968a3&bb=3OazMhx3-LkM4Jh_5N7xusYpm-b3YKLHgZO16W3k83jOZ7Oezo12hDf5FV_HEmdA6eEPYi13hlNPlIAl4E_khsyoE886J3DiAsZS9JopXKwxd4LB7kdhWVkw9VCtaYjZ9aWhcebWui2w7-XVXM7Y-hoTV1pWsCnA&xkcb=SoBm67M3joXRZDTC0B0IbzkdCdPP&fccid=ffecaa944a6623b9&cmp=FPLE-Technology-Pvt-Ltd&ti=Back+End+Developer&vjs=3
2026-05-22T18:40:42.575153+00:00,181efc1a-1563-48bd-a709-f557c6a2b415,Twinleaves Retail Ecommerce India,Java Backend Developer (SDE 1),Indeed,"Bengaluru, Karnataka",68,100,"Docker, Kubernetes","Learn Docker basics and add it naturally to a backend project. | Build a small Java Backend Developer (SDE 1) project that demonstrates Kubernetes. | Add measurable impact bullets for APIs, reliability, and deployments.",waiting_for_human_review,https://in.indeed.com/rc/clk?jk=9cf28150c763ad76&bb=3OazMhx3-LkM4Jh_5N7xujnpvqg5bewgvM3X4nZ1hMPCDpe3yknAUkKUF-N_S07-6HGv55dwRt1rG_s8s-V31WS36DiOHOVQZWfMhrv5FrfJ9kGm8AF4bwIuCcrUqgQApLFvdOEqETmaOTPkPLN4VUU6ME-x_MMI&xkcb=SoDo67M3joXRZDTC0B0PbzkdCdPP&fccid=db82b946884f4d82&vjs=3
2026-05-22T18:40:42.575840+00:00,181efc1a-1563-48bd-a709-f557c6a2b415,Infosys,"Software Developer (Java,Python,Golang)",LinkedIn,"Bengaluru East, Karnataka, India",68,100,"Docker, Kubernetes","Learn Docker basics and add it naturally to a backend project. | Build a small Software Developer (Java,Python,Golang) project that demonstrates Kubernetes. | Add measurable impact bullets for APIs, reliability, and deployments.",waiting_for_human_review,https://in.linkedin.com/jobs/view/software-developer-java-python-golang-at-infosys-4391663862?position=4&pageNum=0&refId=5E2F4yEuk9fAeUmLKNiGzA%3D%3D&trackingId=x1VJuovolJlQoVq147%2FAOA%3D%3D
2026-05-22T18:40:42.576485+00:00,181efc1a-1563-48bd-a709-f557c6a2b415,ITKEDU,Backend Java Developer,Indeed,"Hybrid work in Bengaluru, Karnataka",68,100,"Docker, Kubernetes","Learn Docker basics and add it naturally to a backend project. | Build a small Backend Java Developer project that demonstrates Kubernetes. | Add measurable impact bullets for APIs, reliability, and deployments.",waiting_for_human_review,https://in.indeed.com/rc/clk?jk=ff082b46f79d1090&bb=3OazMhx3-LkM4Jh_5N7xugOX0edlXi3KV-z31FIpg086XUXUmm6Pkpj-j1pJZzdjuab_EaMbgGfWYsngyz7jjOWxPvSnbs-n344MTW7bhXiFOw2Rz5n3IK6qj17_ZyL_kN68Ka1bmzbIMLH9tZgvrk7Dykv7R1sQ&xkcb=SoBP67M3joXRZDTC0B0KbzkdCdPP&fccid=e286db9156adcd52&cmp=ITKEDU&ti=Back+End+Developer&vjs=3
2026-05-22T18:40:42.577134+00:00,181efc1a-1563-48bd-a709-f557c6a2b415,Llama,Junior Full Stack Developer,LinkedIn,"Bengaluru, Karnataka, India",68,100,"Docker, Kubernetes","Learn Docker basics and add it naturally to a backend project. | Build a small Junior Full Stack Developer project that demonstrates Kubernetes. | Add measurable impact bullets for APIs, reliability, and deployments.",waiting_for_human_review,https://in.linkedin.com/jobs/view/junior-full-stack-developer-at-llama-4306117443?position=5&pageNum=0&refId=5E2F4yEuk9fAeUmLKNiGzA%3D%3D&trackingId=5gp8WR%2BkDk7y5o5CHm9%2BNA%3D%3D
